feature,estimate,p,q
Gene_0001,1.7535365619660068,0,0
Gene_0002,1.8364948333026012,7.8888673451200375e-289,5.089591835561314e-288
Gene_0003,1.7220206377979161,5.349331116565928e-132,3.1010615168498135e-131
Gene_0004,1.7269613457515463,4.494012832835541e-84,2.496673796019745e-83
Gene_0005,1.7476751075639136,0,0
Gene_0006,1.698204138132835,0,0
Gene_0007,1.679464990921775,0,0
Gene_0008,1.7931551589931547,0,0
Gene_0009,1.7193709561185795,0,0
Gene_0010,1.7950719313185448,0,0
Gene_0011,1.666831908021332,4.918185294400278e-127,2.823838446545614e-126
Gene_0012,1.74433706103674,0,0
Gene_0013,1.80490326234435,0,0
Gene_0014,1.7475559846580768,1.880183869091473e-285,1.2001173632498764e-284
Gene_0015,1.8572326259567125,0,0
Gene_0016,1.6449369504983302,0,0
Gene_0017,1.6515123017579987,1.6866941711440478e-275,1.0541838569650298e-274
Gene_0018,1.8567446564609094,0,0
Gene_0019,1.7458265233185735,3.062732908460006e-293,1.9866375622443284e-292
Gene_0020,1.816768343637078,3.388870582430067e-156,1.983729121422478e-155
Gene_0021,1.719560525441671,1.3091744670441667e-205,7.815966967427862e-205
Gene_0022,1.7584961043675769,0,0
Gene_0023,2.0386130208394837,0,0
Gene_0024,1.915849764211203,3.777710300250755e-182,2.2441843367826267e-181
Gene_0025,1.812610960236602,0,0
Gene_0026,1.817253061259605,0,0
Gene_0027,1.7933560426692743,3.82313107920044e-245,2.340692497469657e-244
Gene_0028,1.771612161511492,0,0
Gene_0029,1.6137130880201813,0,0
Gene_0030,1.8237728808511313,0,0
Gene_0031,1.766465586871974,1.5761010091203217e-261,9.699083133048135e-261
Gene_0032,1.8131328740659156,0,0
Gene_0033,1.7479093352535093,3.0323753947917863e-180,1.7925371791872628e-179
Gene_0034,1.8806957808885927,5.204971598873734e-125,2.974269485070705e-124
Gene_0035,1.8877242293962038,8.5004833763489e-288,5.454855642576833e-287
Gene_0036,1.7728590893474379,1.8759169369154368e-227,1.1369193557063254e-226
Gene_0037,1.7323201202048573,0,0
Gene_0038,1.7746433710716945,1.7590766389726123e-301,1.1472238949821385e-300
Gene_0039,1.7740584521434997,1.2874281192505357e-219,7.763385643721824e-219
Gene_0040,1.7343527482595678,0,0
Gene_0041,1.8544195101200682,0,0
Gene_0042,1.7863807209497866,0,0
Gene_0043,1.6816213019200728,0,0
Gene_0044,1.7334762675462463,0,0
Gene_0045,1.8646942602340448,0,0
Gene_0046,1.8626357205558057,0,0
Gene_0047,1.7050212322498126,0,0
Gene_0048,1.854007634452954,0,0
Gene_0049,1.7759542184814694,2.814328394699874e-94,1.5781280717943217e-93
Gene_0050,1.628646155219124,0,0
Gene_0051,1.8147004730898515,6.15370387409325e-310,4.035215655143114e-309
Gene_0052,1.807873844997981,1.8351304322e-314,1.2099761092e-313
Gene_0053,1.9110610736821216,1.2305278319601924e-115,6.965251879019957e-115
Gene_0054,1.7373403003283356,2.5198596419244343e-264,1.5667521089685601e-263
Gene_0055,1.7698976128455637,0,0
Gene_0056,1.8079400844440736,1.0108985009326824e-162,5.94646177019225e-162
Gene_0057,1.766286878814445,0,0
Gene_0058,1.7511167803034262,2.7801246108788115e-219,1.6680747665272868e-218
Gene_0059,1.716240213794679,3.650339503474266e-279,2.3054775811416414e-278
Gene_0060,1.8420233369636292,0,0
Gene_0061,1.8269420911708483,5e-323,3.3e-322
Gene_0062,1.8109662577001422,0,0
Gene_0063,1.7735942529051962,0,0
Gene_0064,1.8322357436009005,0,0
Gene_0065,1.64277199690508,0,0
Gene_0066,1.7504692415352583,0,0
Gene_0067,1.5471463569717914,9.86683467711746e-97,5.558780099784483e-96
Gene_0068,1.9112788592175007,3.5418542478359512e-149,2.063216066700554e-148
Gene_0069,1.8683204217889946,0,0
Gene_0070,1.7129554550658523,4.4832879614844945e-67,2.479237582387739e-66
Gene_0071,1.84431364690554,2.3413e-319,1.55223e-318
Gene_0072,1.8274353365726914,1.0060683452228263e-122,5.721715707428396e-122
Gene_0073,1.765186301991524,0,0
Gene_0074,1.6746434116242628,3.976719509334664e-89,2.2195643773030684e-88
Gene_0075,1.7013251101463889,0,0
Gene_0076,1.7865106307950662,0,0
Gene_0077,1.8601676210096572,4.0802425113254376e-262,2.523861347211611e-261
Gene_0078,1.7297593858660563,0,0
Gene_0079,1.8175519368149784,2.3488386868572385e-129,1.3550992424176375e-128
Gene_0080,1.8145504185826622,0,0
Gene_0081,-0.42808453082387476,2.794254619253091e-30,1.2061530730588882e-29
Gene_0082,-0.4220338768178174,1.0774973630738928e-10,1.4947940296978858e-10
Gene_0083,-0.463810911552412,3.52496942537192e-17,7.356457931210962e-17
Gene_0084,-0.27871269167563667,1.585334075049762e-4,1.6702378314835067e-4
Gene_0085,-0.36991189413699643,6.011482449842366e-29,2.4704722396612466e-28
Gene_0086,-0.3556694723465457,7.464268639331264e-16,1.43774034786477e-15
Gene_0087,-0.4332706438457627,2.464438081562899e-5,2.6666597816731094e-5
Gene_0088,-0.403307234912636,3.099551621303263e-5,3.341834632132898e-5
Gene_0089,-0.4150633944799511,5.051016791067877e-23,1.5743428959172603e-22
Gene_0090,-0.44297086672125324,1.0466406157947515e-28,4.272002513447966e-28
Gene_0091,-0.41274073709443615,5.959135413016608e-19,1.416032177350481e-18
Gene_0092,-0.37912298109525255,5.01352112101263e-13,7.926515606344079e-13
Gene_0093,-0.3575492872361695,0,0
Gene_0094,-0.548511684499387,4.535025046509117e-34,2.1855542392815022e-33
Gene_0095,-0.44933426287070444,4.908943171194286e-15,8.844942650800516e-15
Gene_0096,-0.3949452427431202,4.164482075499611e-23,1.3047985615142385e-22
Gene_0097,-0.4436764640107857,3.896344337497545e-10,5.218318309148497e-10
Gene_0098,-0.40486899602582893,2.5665691451833e-9,3.3117021228171613e-9
Gene_0099,-0.38472555789869933,7.441723946746548e-17,1.521306428636432e-16
Gene_0100,-0.35249287781346406,2.2283835004205143e-10,3.035255619187988e-10
Gene_0101,-0.375022866421462,9.985794958861693e-9,1.2600372187838097e-8
Gene_0102,-0.4394210124330928,1.7781675534565068e-15,3.308218704105129e-15
Gene_0103,-0.426906884730357,1.6249461318638423e-8,2.0185666234333444e-8
Gene_0104,-0.4067870782016519,3.2809932065571993e-14,5.5610054348427106e-14
Gene_0105,-0.43121682503954323,6.711897132762426e-27,2.5248515859921355e-26
Gene_0106,-0.39258882359305497,7.298319576941255e-13,1.1374004535492866e-12
Gene_0107,-0.3552148371329587,0.0022987935377897905,0.0023417251658300075
Gene_0108,-0.3943931889753025,6.29628827179057e-16,1.2186364397014006e-15
Gene_0109,-0.470379799541096,2.77064958591449e-6,3.139546272990924e-6
Gene_0110,-0.42157262436050913,0,0
Gene_0111,-0.3751657330742308,1.1417251935028785e-10,1.5782665203620155e-10
Gene_0112,-0.45213163921214483,3.3424570354426392e-12,5.013685553163959e-12
Gene_0113,-0.40610496944888813,4.993053264488789e-4,5.205615914323673e-4
Gene_0114,-0.497033343269468,1.1967415705552297e-8,1.4990499839940245e-8
Gene_0115,-0.49935249248952096,4.196920756679167e-28,1.6676506317930462e-27
Gene_0116,-0.4261501417663018,4.6890141693129615e-22,1.3825103201905537e-21
Gene_0117,-0.38274587824235873,8.617435818208326e-12,1.2703836587039301e-11
Gene_0118,-0.3778753488721266,1.2095157075818205e-25,4.281471531263082e-25
Gene_0119,-0.3652534652144264,1.8444717299541816e-9,2.39801308336405e-9
Gene_0120,-0.39811198667046566,9.028192655813896e-21,2.386306428849488e-20
Gene_0121,-0.4343358938686118,3.197965385364225e-7,3.788310426887532e-7
Gene_0122,-0.3504351309416326,8.50933414823066e-15,1.5172661185552442e-14
Gene_0123,-0.399231532286698,1.875508199339382e-7,2.2371867188938948e-7
Gene_0124,-0.36955484785198445,1.1048975213130056e-21,3.1344610533702285e-21
Gene_0125,-0.3168204879226485,0,0
Gene_0126,-0.32693889230076045,2.0959980731461476e-8,2.5849924848667802e-8
Gene_0127,-0.4594971268689565,1.793920716806509e-32,8.185189582387114e-32
Gene_0128,-0.4748057131844726,6.173962156997695e-47,3.3985112790813e-46
Gene_0129,-0.38538501406711395,0.01010928910419235,0.010202814907511203
Gene_0130,-0.5207204822837677,1.2983985266758246e-21,3.648895156934402e-21
Gene_0131,-0.4214144198847362,2.9189373943165945e-15,5.355848429938706e-15
Gene_0132,-0.47415567958579813,2.0748502045203396e-9,2.6887907617974166e-9
Gene_0133,-0.4115416048096025,1.9146016798216264e-9,2.486495688080034e-9
Gene_0134,-0.3897152266281834,2.6131701777231276e-4,2.738693636041706e-4
Gene_0135,-0.418255508512599,2.0024501050951777e-22,6.022406331113316e-22
Gene_0136,-0.39817823686127013,2.7053940329687942e-18,6.136999696715601e-18
Gene_0137,-0.4349281820427688,6.443858652128658e-19,1.5251736454742386e-18
Gene_0138,-0.3942447059429336,2.924853516276897e-15,5.358510258827903e-15
Gene_0139,-0.34212257654245154,1.398398145474813e-10,1.9288250282411213e-10
Gene_0140,-0.43361808753163344,1.5704636433807958e-21,4.372520584818921e-21
Gene_0141,-0.40803987091975336,1.057909562729019e-21,3.0154191811753514e-21
Gene_0142,-0.39391905178990116,6.163723636237508e-21,1.643659636330002e-20
Gene_0143,-0.398411184374141,1.7978656254279076e-19,4.439174383772611e-19
Gene_0144,-0.44183265203214783,4.4753844442673077e-13,7.085041336570935e-13
Gene_0145,-0.4243748505684736,4.5644605349636e-32,2.0514429370622923e-31
Gene_0146,-0.449692467296953,8.92091712565878e-26,3.1860418305924217e-25
Gene_0147,-0.4699391454076252,4.402705960446811e-34,2.1303415937645862e-33
Gene_0148,-0.545280963386372,0,0
Gene_0149,-0.36839171608032945,1.1326753914290457e-8,1.4217682737603083e-8
Gene_0150,-0.47883750263588243,0,0
Gene_0151,-0.45750686603596474,4.2219531838512937e-17,8.735075552795781e-17
Gene_0152,-0.4139072630113215,1.7769877351292256e-14,3.0681802620936266e-14
Gene_0153,-0.36781388845172597,5.410064953840332e-14,9.0798292931586e-14
Gene_0154,-0.448312870266284,0,0
Gene_0155,-0.3600956669199991,3.9242114865361314e-10,5.249781252891146e-10
Gene_0156,-0.4168539707392846,8.239607342772258e-18,1.807592104447296e-17
Gene_0157,-0.476531326864051,6.240587379705969e-27,2.354938633851309e-26
Gene_0158,-0.3989644217693447,1.5719565802294464e-10,2.1533651783965018e-10
Gene_0159,-0.42666167243884084,1.2068402410610768e-13,1.9784266246902898e-13
Gene_0160,-0.43778935544907305,3.9374129655704985e-23,1.2401300678962202e-22
Gene_0161,-0.4773438920299028,1.8911155217678137e-29,8.018864403255747e-29
Gene_0162,-0.37595467744187094,1.8160321847429803e-13,2.9528978613706997e-13
Gene_0163,-0.29281821656130597,8.493896296020874e-7,9.847995705531447e-7
Gene_0164,-0.48343537752344695,1.4716076684874528e-18,3.41572379532871e-18
Gene_0165,-0.39575950925110964,1.8989453740136482e-17,4.061915238531868e-17
Gene_0166,-0.3219512997345949,3.1188461878922944e-12,4.6958788274413465e-12
Gene_0167,-0.4407853446463739,4.043129693538258e-9,5.183499607100331e-9
Gene_0168,-0.47068597583442645,2.828105435468683e-16,5.59098273898257e-16
Gene_0169,-0.39132789395875767,3.611470969254642e-15,6.5563769487224966e-15
Gene_0170,-0.3799953221743952,2.1454935265993907e-11,3.1019183517099623e-11
Gene_0171,-0.3169584704829348,2.589479801329137e-8,3.183786640978447e-8
Gene_0172,-0.28288517807569985,0,0
Gene_0173,-0.36043548103168893,5.972164983474723e-16,1.1577702714329028e-15
Gene_0174,-0.24960307030634346,0,0
Gene_0175,-0.3775699164382996,4.39535280150758e-18,9.858735255717935e-18
Gene_0176,-0.44650032005901297,6.905145138141733e-25,2.39484802478904e-24
Gene_0177,-0.4942917600609572,3.925131029941042e-5,4.2243562654073996e-5
Gene_0178,-0.4531588040179519,1.2656846966823599e-28,5.131154175739297e-28
Gene_0179,-0.3647670302421302,3.807398549240359e-11,5.4133628662185195e-11
Gene_0180,-0.4296470432625378,1.7281668790113566e-8,2.144571101151632e-8
Gene_0181,-0.4120538147014731,6.037541315532684e-23,1.8721058342737007e-22
Gene_0182,-0.4481494872506746,9.564468274102896e-31,4.188818222234845e-30
Gene_0183,-0.4342625712882911,1.2136934997321612e-19,3.0216435677979116e-19
Gene_0184,-0.43263896029560384,5.89510239097744e-20,1.4987548451637558e-19
Gene_0185,-0.45633265518149774,2.0682403513885198e-17,4.408327569567005e-17
Gene_0186,-0.4134989986630013,1.5690137989731997e-25,5.521456184069911e-25
Gene_0187,-0.4226495490985054,1.684328018106639e-27,6.519979424928926e-27
Gene_0188,-0.4344007031543791,0.0012142685469702398,0.00125074871790926
Gene_0189,-0.44849799073461954,7.190998968168693e-12,1.06665003236124e-11
Gene_0190,-0.47807857218620986,2.4479922115475593e-10,3.319311473284826e-10
Gene_0191,-0.527885268357123,6.177351324569383e-19,1.4649845038504466e-18
Gene_0192,-0.43613173276945716,3.5573013069842356e-14,6.020820265699693e-14
Gene_0193,-0.260443471297843,0.022024786602742936,0.022024786602742936
Gene_0194,-0.4001818974511156,9.890981445478878e-13,1.5315068044612455e-12
Gene_0195,-0.3661107351626194,4.093881663474113e-5,4.402023294058186e-5
Gene_0196,-0.41550919294972116,1.9772145388061458e-34,9.684316108438265e-34
Gene_0197,-0.3867602492912526,1.0876265843727408e-12,1.6797321766374375e-12
Gene_0198,-0.35398945920625496,3.516805349122245e-13,5.597037690910734e-13
Gene_0199,-0.526790487308496,1.4048262406711425e-8,1.7523820049951883e-8
Gene_0200,-0.41863347559671293,8.531788258415885e-22,2.45519086573119e-21
Gene_0201,-0.48043658723224214,7.229742688905395e-43,3.943496012130215e-42
Gene_0202,-0.3206343941290157,6.141240383491442e-11,8.609215490875853e-11
Gene_0203,-0.33361422592612183,2.9651037694085845e-14,5.054154152400996e-14
Gene_0204,-0.3871082326903536,0,0
Gene_0205,-0.45084409227400074,4.059183490834868e-14,6.850942600565178e-14
Gene_0206,-0.47007065973881057,0,0
Gene_0207,-0.38320415741494124,6.918612171111012e-11,9.653877448061878e-11
Gene_0208,-0.39775161583365815,9.774101287929927e-15,1.7299294314920225e-14
Gene_0209,-0.4008400405997799,1.3591225236170799e-16,2.745702067913293e-16
Gene_0210,-0.40643698212457635,1.289522190166185e-5,1.4162932018422228e-5
Gene_0211,-0.3827188068920797,1.886776188638418e-23,6.021626133952398e-23
Gene_0212,-0.3447782256723481,0,0
Gene_0213,-0.40271526067640345,3.0296083863602495e-18,6.859490686098678e-18
Gene_0214,-0.3661276282015003,1.4730425330688644e-6,1.6931523368607636e-6
Gene_0215,-0.340896659401867,2.814511024526437e-13,4.509229945836748e-13
Gene_0216,-0.5719174820978681,0,0
Gene_0217,-0.4201468582327523,2.3053315026533e-21,6.244690300640994e-21
Gene_0218,-0.44491546609186267,1.1309865027425757e-29,4.812708522308833e-29
Gene_0219,-0.48607950004398925,3.2001899288395036e-18,7.232067635795488e-18
Gene_0220,-0.4030356854642118,6.555355492030543e-5,6.95528434167697e-5
Gene_0221,-0.3442948816313543,4.253502138385066e-11,6.03333636650364e-11
Gene_0222,-0.46528951857137585,0,0
Gene_0223,-0.4095651347711882,1.1893971472206903e-13,1.9551733926915456e-13
Gene_0224,-0.4785023218319144,7.386621931232388e-6,8.222584710091714e-6
Gene_0225,-0.4956707114947582,1.4124371415347335e-11,2.0590373613026204e-11
Gene_0226,-0.34673000348901617,2.5222508268385615e-6,2.8661941214074567e-6
Gene_0227,-0.43860720945771337,1.1938403138405044e-13,1.959792580859925e-13
Gene_0228,-0.3960354025173988,9.899788119159829e-19,2.329361910390548e-18
Gene_0229,-0.4224146087686644,1.0106444080005537e-7,1.220093852716966e-7
Gene_0230,-0.4330168172952478,4.803230553506432e-7,5.628785804890351e-7
Gene_0231,-0.351325175812705,1.9327264989908422e-7,2.3031497505352636e-7
Gene_0232,-0.4196131436930579,1.7395910744200569e-22,5.284833643807768e-22
Gene_0233,-0.4928626925489609,5.58119732714839e-13,8.754819336703357e-13
Gene_0234,-0.30328075554369727,0.002389672897165668,0.0024322370454612397
Gene_0235,-0.24120457650424032,0,0
Gene_0236,-0.2766242650095465,5.94147828555932e-7,6.935577765244343e-7
Gene_0237,-0.39341378418400696,1.7633728896765295e-12,2.6853394259033443e-12
Gene_0238,-0.47389369277552656,2.651080022526265e-28,1.060432009010506e-27
Gene_0239,-0.483287807191856,2.921445900595065e-27,1.1200431567776607e-26
Gene_0240,-0.3174815905116043,1.5507459625259818e-4,1.635233000906132e-4
Gene_0241,-0.3747727521274243,0,0
Gene_0242,-0.4597172399230545,6.250595381724757e-38,3.3042794969470083e-37
Gene_0243,-0.4370136564192657,9.527869996703841e-16,1.806231278995989e-15
Gene_0244,-0.4399732553430067,6.70280884232697e-26,2.408194793650408e-25
Gene_0245,-0.3804871410824376,3.097977774947926e-11,4.436245023791779e-11
Gene_0246,-0.4214138056561265,1.4734681125080217e-22,4.499139274833655e-22
Gene_0247,-0.3850540583264654,5.380004092220768e-5,5.764290098807966e-5
Gene_0248,-0.46800616783286503,1.7296381339595612e-22,5.267933402922522e-22
Gene_0249,-0.4369699206680905,7.726111585779216e-13,1.1993963651921163e-12
Gene_0250,-0.44152843575772205,1.939388427475075e-11,2.8151064719276945e-11
Gene_0251,-0.3564207875695667,5.6665185388675165e-31,2.4999346495003752e-30
Gene_0252,-0.4600081406224696,5.119003529752964e-19,1.2236661824110673e-18
Gene_0253,-0.3830123692570883,8.178576202833899e-16,1.5603007064230013e-15
Gene_0254,-0.5118719592167486,4.0921018689517417e-36,2.0807297638737668e-35
Gene_0255,-0.3013260325510916,9.636238533170941e-6,1.0647777384719273e-5
Gene_0256,-0.4869533428457976,1.3575115272121173e-6,1.5633530063863156e-6
Gene_0257,-0.37592211528085084,1.928195956341852e-16,3.843579979418974e-16
Gene_0258,-0.4171601553489292,1.0154512724384205e-17,2.2075027661704793e-17
Gene_0259,-0.5319438767244817,0,0
Gene_0260,-0.39628835844579396,1.2885284175593286e-5,1.4162932018422228e-5
Gene_0261,-0.34334241628327367,5.541789660145956e-4,5.767690886535254e-4
Gene_0262,-0.5064916233559906,5.605965993314002e-19,1.3347538079319052e-18
Gene_0263,-0.44314435520574424,5.605056592700194e-4,5.818397847093627e-4
Gene_0264,-0.44025114466048576,3.020278761535749e-17,6.352531553068383e-17
Gene_0265,-0.4253562653700359,1.841590098632726e-14,3.170599882868395e-14
Gene_0266,-0.4132194026377836,1.392202598893492e-35,7.019508901983993e-35
Gene_0267,-0.42382478806459856,6.821118000880862e-17,1.396815972876627e-16
Gene_0268,-0.5111362704847072,8.942145665833586e-27,3.3428581928349856e-26
Gene_0269,-0.41035157742188927,8.341719901581296e-14,1.3845178259885968e-13
Gene_0270,-0.40829072390595816,1.2097062478780509e-18,2.8241159331931612e-18
Gene_0271,-0.3793097431495307,0,0
