threshold,n_hits,ppv
0.5,188,0.23404255319148937
0.6,173,0.2543352601156069
0.7,161,0.2732919254658385
0.8,148,0.2972972972972973
0.9,134,0.3283582089552239
1,125,0.352
1.1,111,0.3963963963963964
1.2000000000000002,100,0.44
1.3,89,0.4943820224719101
1.4,85,0.5176470588235295
1.5,78,0.5641025641025641
1.6,71,0.6197183098591549
1.7000000000000002,64,0.6875
1.8,64,0.6875
1.9000000000000001,59,0.7288135593220338
2,56,0.75
2.1,53,0.7735849056603774
2.2,48,0.7916666666666666
2.3,41,0.8536585365853658
2.4000000000000004,33,0.8787878787878788
2.5,30,0.9
